request_id,model,backend,input_tokens,output_tokens,concurrency,ttft_ms,tpot_ms,total_latency_ms,token_count_method,completed,error,started_offset_ms,completed_offset_ms,scheduled_offset_ms,dispatch_offset_ms,queue_delay_ms,end_to_end_latency_ms
req-000012,qwen2.5:1.5b-instruct,ollama,377,64,1,266.4252920076251,10.226559524040018,910.6985420221463,server_usage,True,,11241.416125034448,12152.114667056594,11241.414542018902,11241.416125034448,0.0015830155462026596,910.7001250376925
req-000013,qwen2.5:1.5b-instruct,ollama,373,64,1,266.1875420017168,9.905165349621148,890.2129590278491,server_usage,True,,12152.172917034477,13042.385876062326,12152.171541994903,12152.172917034477,0.0013750395737588406,890.2143340674229
req-000014,qwen2.5:1.5b-instruct,ollama,376,64,1,265.9598750178702,9.90316269841666,889.8591250181198,server_usage,True,,13042.453125002794,13932.312250020914,13042.451874993276,13042.453125002794,0.0012500095181167126,889.8603750276379
req-000015,qwen2.5:1.5b-instruct,ollama,378,64,1,265.29295794898644,9.856022492472437,886.22237497475,server_usage,True,,13932.3818749981,14818.60424997285,13932.380457990803,13932.3818749981,0.0014170072972774506,886.2237919820473
req-000016,qwen2.5:1.5b-instruct,ollama,378,64,1,267.8788750199601,11.82824736534958,1013.0584590369835,server_usage,True,,14818.654500006232,15831.712959043216,14818.65320802899,14818.654500006232,0.0012919772416353226,1013.0597510142252
req-000017,qwen2.5:1.5b-instruct,ollama,380,64,1,295.0219580088742,17.037492063421283,1368.383958004415,server_usage,True,,15831.883542006835,17200.26750001125,15831.877375021577,15831.883542006835,0.006166985258460045,1368.3901249896735
req-000018,qwen2.5:1.5b-instruct,ollama,383,64,1,314.7749160416424,13.055693793354468,1137.2836250229739,server_usage,True,,17200.355208013207,18337.63883303618,17200.35366702359,17200.355208013207,0.0015409896150231361,1137.285166012589
req-000019,qwen2.5:1.5b-instruct,ollama,380,64,1,316.20954198297113,12.351482810031268,1094.352959014941,server_usage,True,,18337.898708006833,19432.251667021774,18337.89045800222,18337.898708006833,0.00825000461190939,1094.361209019553
req-000020,qwen2.5:1.5b-instruct,ollama,380,64,1,336.24879200942814,12.17289285786036,1103.1410420546308,server_usage,True,,19432.348458038177,20535.489500092808,19432.347082998604,19432.348458038177,0.0013750395737588406,1103.1424170942046
req-000021,qwen2.5:1.5b-instruct,ollama,376,64,1,315.8467090106569,12.203679221408766,1084.6784999594092,server_usage,True,,20535.54062504554,21620.21912500495,20535.539375036024,20535.54062504554,0.0012500095181167126,1084.6797499689274
req-000022,qwen2.5:1.5b-instruct,ollama,378,64,1,331.41325000906363,12.281955015616463,1105.1764159929007,server_usage,True,,21620.42824999662,22725.604665989522,21620.425041997805,21620.42824999662,0.003207998815923929,1105.1796239917167
req-000023,qwen2.5:1.5b-instruct,ollama,375,64,1,315.98120904527605,11.69195634845112,1052.5744589976966,server_usage,True,,22725.998542038724,23778.57300103642,22725.99737503333,22725.998542038724,0.001167005393654108,1052.5756260030903
req-000024,qwen2.5:1.5b-instruct,ollama,378,64,1,311.6847909986973,11.884048952543665,1060.3798750089481,server_usage,True,,23778.680958028417,24839.060833037365,23778.67770800367,23778.680958028417,0.0032500247471034527,1060.3831250336953
req-000025,qwen2.5:1.5b-instruct,ollama,378,64,1,286.7518750135787,12.409900793702239,1068.5756250168197,server_usage,True,,24839.192208019085,25907.767833035905,24839.18991702376,24839.192208019085,0.0022909953258931637,1068.5779160121456
req-000026,qwen2.5:1.5b-instruct,ollama,379,64,1,311.1691669910215,13.006284396858915,1130.5650839931332,server_usage,True,,25907.828541996423,27038.393625989556,25907.82720799325,25907.828541996423,0.001334003172814846,1130.566417996306
req-000027,qwen2.5:1.5b-instruct,ollama,375,64,1,317.8515409817919,12.231791015928758,1088.4543749853037,server_usage,True,,27038.614624994807,28127.06899998011,27038.61270804191,27038.614624994807,0.0019169528968632221,1088.4562919382006
req-000028,qwen2.5:1.5b-instruct,ollama,380,64,1,301.9320000312291,12.23782274598581,1072.9148330283351,server_usage,True,,28127.112542046234,29200.02737507457,28127.111625042744,28127.112542046234,0.0009170034900307655,1072.9157500318252
req-000029,qwen2.5:1.5b-instruct,ollama,378,64,1,309.0040829847567,12.160710984885338,1075.128875032533,server_usage,True,,29200.206957990304,30275.335833022837,29200.20275004208,29200.206957990304,0.004207948222756386,1075.1330829807557
req-000030,qwen2.5:1.5b-instruct,ollama,378,64,1,313.4438749984838,13.142416666683165,1141.4161249995232,server_usage,True,,30275.46837500995,31416.884500009473,30275.4660420469,30275.46837500995,0.0023329630494117737,1141.4184579625726
req-000031,qwen2.5:1.5b-instruct,ollama,377,64,1,308.93720797030255,12.368312825278808,1088.1409159628674,server_usage,True,,31417.015000013635,32505.155915976502,31417.012082994916,31417.015000013635,0.0029170187190175056,1088.1438329815865
req-000032,qwen2.5:1.5b-instruct,ollama,378,64,1,310.391208040528,11.655087968046288,1044.6617500274442,server_usage,True,,32505.21304202266,33549.874792050105,32505.211875017267,32505.21304202266,0.001167005393654108,1044.6629170328379
